"ID","category","title","country","price","rating","description","vintage","region","varietal","url"
"133833","Red","Col d'Orcia 2006 Poggio al Vento Riserva  (Brunello di Montalcino)","Italy","150","95","This iconic Brunello seamlessly combines power and finesse. It opens with earthy aromas of underbrush, tobacco, tilled soil and blackberries. The dense palate delivers juicy black cherry and raspberry alongside black pepper, licorice and a balsam note. It's impeccably balanced but still very young, and still showing racy acidity and assertive tannins. Give it time to soften and develop more complexity. Drink 2016–2031.","2006","Tuscany","Sangiovese","https://www.winemag.com/buying-guide/col-dorcia-2006-poggio-al-vento-riserva-sangiovese-brunello-montalcino/"
"133834","White","Salomon-Undhof 2012 Alte Reben Berglagen Grüner Veltliner (Kremstal)","Austria","35","95","Rich aromas of late summer are here: the ripe peel of yellow pears, luscious peach and yellow Mirabelle plum plus some dried hayflower notes. There is power and depth, along with some alcoholic heat and balancing acidity—beautiful now but it will get even better. Drink until 2020.","2012","Kremstal","Grüner Veltliner","https://www.winemag.com/buying-guide/salomon-undhof-2012-alte-reben-berglagen-gruner-veltliner-kremstal/"
"133835","Red","Syncline 2011 Ciel du Cheval Vineyard Syrah (Red Mountain)","US","50","95","This is a focused, riveting expression of Red Mountain Syrah from a great vineyard. It's packed with juicy flavors of fresh raspberries, tinged with tangerine-flavored acids. Elegant and fascinating, it's a pure, fruit-driven expression of the grape, bolstered by the natural minerality of Ciel du Cheval fruit.","2011","Washington","Syrah","https://www.winemag.com/buying-guide/syncline-2011-ciel-cheval-vineyard-shiraz-syrah-syrah-columbia-valley-red-mountain/"
"133836","White","Ashan 2012 Kestrel Vineyard Chardonnay (Yakima Valley)","US","45","95","This barrel-fermented Chardonnay, from the oldest plantings (1972) in Washington State, displays exceptional concentration and palate weight. Apple pie, pear tart, baking spice, butter and caramel flavors abound. It's rich and packed with fruit, along with the seductive flavors that aging in new French oak can provide.","2012","Washington","Chardonnay","https://www.winemag.com/buying-guide/ashan-2012-kestrel-vineyard-chardonnay-columbia-valley-yakima/"
"133837","Red","Château Léoville Las Cases 2011  Saint-Julien","France","175","96","Huge structure, huge potential, a wine that will bring out all the fruit and density of the vintage while remaining very fresh. Black plums are already showing strongly along with the dry core that promises aging. It's serious while alive and bright. Drink this major wine from 2022.","2011","Bordeaux","Bordeaux-style Red Blend","https://www.winemag.com/buying-guide/chateau-leoville-las-cases-2011-red-saint-julien/"
"133838","Red","Isole e Olena 2010 Cepparello Sangiovese (Toscana)","Italy","80","96","It opens with an enticing fragrance of black berries, toast, Mediterranean spices and a touch of vanilla. The vibrant, youthful palate delivers a core of black cherry accented with black pepper layered with mocha, mint and tobacco notes. The racy acidity and solid but brooding tannins demonstrate that this wine still needs time to develop to its extraordinary potential. Drink 2018–2035.","2010","Tuscany","Sangiovese","https://www.winemag.com/buying-guide/isole-e-olena-2010-cepparello-sangiovese-toscana/"
"133839","Red","Château Pontet-Canet 2011  Pauillac","France","105","96","So smooth, this is a rich, grandiose wine. Although it is full of black currant fruits and spice flavors, the texture is most impressive. Dusty tannins are integrated with juicy fruits seamlessly. The purest fruit flavors are allied to linear tannins in a precise yet generous way. The wine is evolving beautifully, but do not drink before 2020.","2011","Bordeaux","Bordeaux-style Red Blend","https://www.winemag.com/buying-guide/chateau-pontet-canet-2011-red-pauillac/"
"133840","Red","Château Lafite Rothschild 2011  Pauillac","France","685","96","The wine shows the power typical of a Lafite but within the context of the fruity 2011 vintage. The immensely dense tannic structure gives the wine a solid feel that is lifted by so much ripe black currant and berry fruits. At the back, the wine has a more brooding, dark character that suggests great aging potential. Drink this wine from 2019.","2011","Bordeaux","Bordeaux-style Red Blend","https://www.winemag.com/buying-guide/chateau-lafite-rothschild-2011-red-pauillac/"
"135260","Red","Monteraponi 2010 Baron' Ugo Riserva  (Chianti Classico)","Italy","63","96","Here's a gorgeous Chianti Classico that shows great intensity, breeding and class. It opens with quintessential varietal aromas of leather, blue flower, berry and spice. The palate delivers juicy black cherry, white pepper, cinnamon and mint alongside bracing but refined tannins and fresh acidity. It already has compelling depth but is still young and needs time to develop even more complexity. Drink 2016–2030.","2010","Tuscany","Red Blend","https://www.winemag.com/buying-guide/monteraponi-2010-baron-ugo-riserva-red-chianti-classico/"
"135235","Red","Monteraponi 2010 Il Campitello Riserva  (Chianti Classico)","Italy","55","95","This stunning wine opens with a multifaceted fragrance of underbrush, leather, spice, woodland berries and violets, with a whiff of mint. The layered palate delivers a vibrant core of succulent black cherry accented with white pepper and balsamic herbs. It's still young and structured with forceful yet fine tannins so give it time to develop fully. Drink 2015–2025.","2010","Tuscany","Red Blend","https://www.winemag.com/buying-guide/monteraponi-2010-il-campitello-riserva-red-chianti-classico/"
