"varietal","category","average_price_varietal"
"Moscatel","Sparkling","                16.86"
"Moscatel","White","                24.16"
"Moscadello","Dessert","                38.25"
"Moristel","Red","                11.67"
"Morio Muskat","Dessert","                15.00"
"Morio Muskat","White","                17.00"
"Morillon","Dessert","                55.00"
"Morillon","White","                30.14"
"Moreto","Red","                30.00"
"Morava","White","                26.00"
"Montepulciano","Dessert","                36.67"
"Montepulciano","Red","                25.39"
"Montepulciano","Rose","                17.64"
"Monica","Red","                21.75"
"Mondeuse","Red","                28.90"
"Monastrell-Syrah","Red","                17.19"
"Monastrell-Petit Verdot","Red","                23.00"
"Monastrell-Cabernet Sauvignon","Red","                15.00"
"Monastrell","Dessert","                34.86"
"Monastrell","Red","                18.23"
"Monastrell","Rose","                 9.80"
"Monastrell","Sparkling","                15.00"
"Molinara","Sparkling","                20.50"
"Mission","Dessert","               106.67"
"Mission","Rose","                16.80"
"Misket","White","                19.00"
"Minutolo","White","                18.00"
"Meseguera","White","                24.00"
"Merseguera-Sauvignon Blanc","White","                 9.50"
"Merlot-Tannat","Red","                18.33"
"Merlot-Syrah","Red","                30.88"
"Merlot-Shiraz","Red","                14.33"
"Merlot-Petite Verdot","Red","                20.00"
"Merlot-Malbec","Red","                27.00"
"Merlot-Malbec","Rose","                10.00"
"Merlot-Grenache","Red","                10.50"
"Merlot-Cabernet Sauvignon","Red","                28.07"
"Merlot-Cabernet Sauvignon","Rose","                 9.50"
"Merlot-Cabernet Sauvignon","White","                55.00"
"Merlot-Cabernet Franc","Dessert","                60.00"
"Merlot-Cabernet Franc","Red","                42.21"
"Merlot-Cabernet Franc","Rose","                10.00"
"Merlot-Cabernet","Red","                17.81"
"Merlot-Argaman","Red","                13.00"
"Merlot","Dessert","                66.67"
"Merlot","Red","                26.74"
"Merlot","Rose","                15.74"
"Merlot","Sparkling","                24.38"
"Merlot","White","                26.00"
"Meritage","Red","                38.58"
"Meritage","White","                19.10"
"Meoru","Red","                11.00"
"Mencía","Red","                28.65"
"Melon de Bourgogne","White","                19.37"
"Melon","White","                16.63"
"Melnik","Red","                18.00"
"Mazuelo","Red","                60.67"
"Mavrud","Red","                16.57"
"Mavroudi","Red","                16.00"
"Mavrotragano","Red","                50.00"
"Mavrokalavryta","Red","                15.00"
"Mavrodaphne","Dessert","                14.50"
"Mavrodaphne","Red","                11.50"
"Mauzac","Dessert","                17.00"
"Mauzac","Sparkling","                18.44"
"Mauzac","White","                16.00"
"Maturana Blanca","White","                22.00"
"Maturana","Red","                57.50"
"Mataro","Dessert","                40.00"
"Mataro","Red","                49.15"
"Marzemino","Dessert","                50.00"
"Marzemino","Red","                34.67"
"Marselan","Red","                28.50"
"Marsanne-Viognier","White","                30.00"
"Marsanne-Roussanne","Red","                26.00"
"Marsanne-Roussanne","White","                28.82"
"Marsanne","Dessert","                35.00"
"Marsanne","Red","                20.00"
"Marsanne","White","                36.79"
"Marquette","Red","                22.88"
"Maria Gomes-Bical","White","                25.00"
"Maria Gomes","Red","                20.00"
"Maria Gomes","Sparkling","                12.00"
"Maria Gomes","White","                10.67"
"Maréchal Foch","Red","                14.00"
"Marawi","White","                35.00"
"Manzoni","White","                22.33"
"Mantonico","Dessert","                30.00"
"Mantonico","White","                28.00"
"Mansois","Red","                15.50"
"Manseng Noir","Red","                22.00"
"Mandilaria","Dessert","                25.00"
"Mandilaria","Red","                24.00"
"Malvoisie","White","                14.00"
"Malvazija","White","                19.00"
"Malvasia Nera","Dessert","                16.00"
"Malvasia Nera","Red","                31.80"
"Malvasia Istriana","White","                19.36"
"Malvasia Fina","Dessert","                33.50"
"Malvasia Fina","White","                16.50"
"Malvasia di Candia","Dessert","                23.00"
"Malvasia di Candia","White","                22.00"
"Malvasia Bianca","Dessert","                29.67"
"Malvasia Bianca","Sparkling","                19.00"
"Malvasia Bianca","White","                20.61"
"Malvasia-Viura","White","                15.75"
"Malvasia","Dessert","                46.33"
"Malvasia","Fortified","               195.00"
"Malvasia","Red",NULL
"Malvasia","Sparkling","                19.00"
"Malvasia","White","                24.20"
"Malvar","White","                21.00"
"Malmsey","Port/Sherry","                29.00"
"Malbec Blend","Red","                47.71"
"Malbec-Tempranillo","Red","                19.67"
"Malbec-Tannat","Fortified","                30.00"
"Malbec-Tannat","Red","                29.90"
"Malbec-Syrah","Red","                16.82"
"Malbec-Syrah","Rose","                 9.00"
"Malbec-Petit Verdot","Red","                43.00"
"Malbec-Merlot","Fortified","                35.00"
"Malbec-Merlot","Red","                19.76"
"Malbec-Corvina","Red","                18.00"
"Malbec-Carménère","Red","                57.50"
"Malbec-Cabernet Sauvignon","Red","                37.38"
"Malbec-Cabernet Sauvignon","Rose","                11.33"
"Malbec-Cabernet Franc","Red","                38.00"
"Malbec-Cabernet","Red","                90.00"
"Malbec-Bonarda","Red","                15.78"
"Malbec","Dessert","                20.00"
"Malbec","Fortified","                32.00"
"Malbec","Red","                28.97"
"Malbec","Rose","                14.10"
"Malbec","Sparkling","                20.14"
"Malbec","White","                17.43"
"Malagouzia-Chardonnay","White","                 8.00"
"Malagouzia","White","                20.40"
"Malagousia","White","                20.67"
"Magliocco","Red","                29.60"
"Madeleine Angevine","White","                17.50"
"Madeira Blend","Dessert","                42.00"
"Madeira Blend","Port/Sherry","                34.83"
"Macabeo-Moscatel","White","                 7.50"
"Macabeo-Gewürztraminer","White","                10.00"
"Macabeo-Chardonnay","Sparkling","                12.00"
"Macabeo-Chardonnay","White","                10.80"
"Macabeo","Dessert","                20.00"
"Macabeo","Red","                 8.00"
"Macabeo","Sparkling","                24.33"
"Macabeo","White","                13.26"
"Loureiro-Arinto","White","                10.00"
"Loureiro","White","                12.80"
"Loin de l'Oeil","Dessert","                31.25"
"Loin de l'Oeil","White","                19.50"
"Listán Negro","Red","                32.50"
"Liebfraumilch","White","                 6.00"
"Lidia","Red","                15.00"
"Lemberger-Cabernet","Red","                12.50"
"Lemberger","Red","                19.97"
"Lemberger","Rose","                20.00"
"Lambrusco Salamino","Sparkling","                15.33"
"Lambrusco Grasparossa","Dessert","                14.00"
"Lambrusco Grasparossa","Sparkling","                18.52"
"Lambrusco di Sorbara","Sparkling","                20.57"
"Lambrusco","Dessert","                10.75"
"Lambrusco","Red","                12.83"
"Lambrusco","Rose","                21.00"
"Lambrusco","Sparkling","                16.68"
"Lagrein-Dolcetto","Red","                26.00"
"Lagrein","Red","                32.18"
"Lagrein","Rose","                16.43"
"Lacrima","Red","                17.00"
"Kuntra","Red","                15.00"
"Kotsifali","Red","                13.00"
"Koshu","White","                24.00"
"Kisi","White","                19.80"
"Királyleányka","White","                 9.00"
"Kinali Yapincak","White","                15.00"
"Kerner","Dessert","                37.00"
"Kerner","White","                22.83"
"Kekfrankos","Red","                27.08"
"Karasakiz","Red","                15.00"
"Karalahna","Red","                15.00"
"Kangoun","White","                14.00"
"Kallmet","Red","                20.00"
"Kalecik Karasi","Red","                22.00"
"Kalecik Karasi","Rose","                19.00"
"Kalecik Karasi","Sparkling","                42.50"
"Kadarka","Red","                21.25"
"Juhfark","White","                28.00"
"Johannisberg Riesling","Dessert","                28.33"
"Johannisberg Riesling","Red","                11.00"
"Johannisberg Riesling","Sparkling","                 8.00"
"Johannisberg Riesling","White","                10.75"
"Johannisberg","White","                30.00"
"Jampal","White","                25.00"
"Jaen","Red","                30.11"
"Jaen","White","                20.00"
"Jacquez","Dessert","                40.00"
"Jacquez","Fortified","                42.00"
"Jacquère","White","                17.36"
"Irsai Oliver","White","                13.00"
"Inzolia","White","                15.51"
"Insolia","White","                16.86"
"Incrocio Manzoni","White","                24.75"
"Huxelrebe","Dessert","                37.00"
"Hondarrabi Zuri","Dessert","                40.00"
"Hondarrabi Zuri","Rose","                19.00"
"Hondarrabi Zuri","White","                20.81"
"Hárslevelü","White","                19.33"
"Grüner Veltliner","Dessert","                43.11"
"Grüner Veltliner","Red","                17.00"
"Grüner Veltliner","Sparkling","                28.67"
"Grüner Veltliner","White","                28.90"
"Gros Plant","White","                16.00"
"Gros Manseng","Dessert","                16.36"
"Gros Manseng","White","                16.38"
"Gros and Petit Manseng","Dessert","                21.65"
"Gros and Petit Manseng","White","                20.33"
"Groppello","Red","                18.00"
"Grolleau","Red","                54.00"
"Grolleau","Rose","                11.67"
"Grillo","Dessert","                30.00"
"Grillo","Fortified","                24.00"
"Grillo","Port/Sherry",NULL
"Grillo","Sparkling","                15.50"
"Grillo","White","                16.67"
"Grignolino","Red","                18.67"
"Grenache Noir","Red","                28.14"
"Grenache Noir","White","                40.00"
"Grenache Gris","Red","                35.00"
"Grenache Gris","White","                32.00"
"Grenache Blend","Red","                28.58"
"Grenache Blend","White","                23.00"
"Grenache Blanc","Dessert","                26.00"
"Grenache Blanc","Fortified","                35.50"
"Grenache Blanc","Rose","                38.00"
"Grenache Blanc","White","                25.39"
"Grenache-Syrah","Red","                28.68"
"Grenache-Syrah","Rose","                11.29"
"Grenache-Shiraz","Red","                25.33"
"Grenache-Shiraz","Rose","                11.25"
"Grenache-Mourvèdre","Red","                35.38"
"Grenache-Carignan","Red","                27.00"
"Grenache","Dessert","                34.71"
"Grenache","Fortified","                24.00"
"Grenache","Red","                36.73"
"Grenache","Rose","                20.13"
"Grenache","Sparkling","                23.00"
"Grenache","White","                22.13"
"Greco Bianco","White","                17.67"
"Greco","Red",NULL
"Greco","Sparkling","                42.25"
"Greco","White","                25.12"
"Grechetto","White","                17.10"
"Grecanico","Rose","                19.00"
"Grecanico","White","                19.67"
"Grauburgunder","White","                23.42"
"Grasparossa di Castelvetro","Sparkling","                26.00"
"Graševina","White","                24.00"
"Gragnano","Sparkling","                16.50"
"Gragnano","White","                11.00"
"Graciano","Red","                41.40"
"Graciano","Rose","                16.00"
"Gouveio","Sparkling","                22.50"
"Godello","Red","                12.00"
"Godello","White","                22.32"
"Glera","Dessert","                22.50"
"Glera","Sparkling","                20.22"
"Glera","White","                16.50"
"Gewürztraminer-Riesling","Dessert","                37.33"
"Gewürztraminer-Riesling","White","                19.13"
"Gewürztraminer","Dessert","                42.15"
"Gewürztraminer","Red","                16.25"
"Gewürztraminer","Sparkling","                17.00"
"Gewürztraminer","White","                24.88"
"Gelber Traminer","Dessert","                35.00"
"Gelber Muskateller","Dessert","                60.50"
"Gelber Muskateller","Sparkling",NULL
"Gelber Muskateller","White","                23.91"
"Garnatxa Blanca","White","                14.00"
"Garnatxa","Red","                17.50"
"Garnacha Tintorera","Red","                13.43"
"Garnacha Blend","Fortified","                38.00"
"Garnacha Blend","Red","                18.00"
"Garnacha Blanca","Red","                15.00"
"Garnacha Blanca","White","                18.21"
"Garnacha-Tempranillo","Red","                12.20"
"Garnacha-Syrah","Red","                12.79"
"Garnacha-Monastrell","Red","                11.67"
"Garnacha-Graciano","Red","                42.75"
"Garnacha-Cariñena","Red","                57.00"
"Garnacha-Cabernet","Red","                22.00"
"Garnacha-Cabernet","Rose","                13.00"
"Garnacha","Dessert","                25.00"
"Garnacha","Red","                20.96"
"Garnacha","Rose","                10.50"
"Garnacha","Sparkling","                13.00"
"Garnacha","White","                21.00"
"Garganega","Dessert","                41.43"
"Garganega","Sparkling","                22.67"
"Garganega","White","                18.95"
"Gamza","Red","                11.00"
"Gamay Noir","Red","                24.58"
"Gamay Noir","Rose","                14.00"
"Gamay","Red","                21.03"
"Gamay","Rose","                16.57"
"Gamay","Sparkling","                22.75"
"Gamay","White","                20.00"
"Gaglioppo","Red","                19.36"
"Gaglioppo","Rose","                12.00"
"G-S-M","Red","                33.05"
"Furmint","Dessert","               115.20"
"Furmint","White","                24.10"
"Fumin","Red","                30.00"
"Fumé Blanc","White","                19.57"
"Fumé-Chardonnay","White","                10.00"
"Früburgunder","Red","                40.00"
"Friulano","Dessert","                45.00"
"Friulano","White","                23.10"
"Freisa","Red","                20.00"
"Freisa","Sparkling","                15.00"
"Frappato","Dessert","                26.00"
"Frappato","Red","                21.48"
"Frappato","Sparkling","                22.25"
"Frappato","White","                33.00"
"Frankovka","Red","                24.00"
"Franconia","Red","                16.00"
"Francisa","Red","               160.00"
"Forcallà","Red","                27.00"
"Folle Blanche","White","                16.50"
"Foglia Tonda","Red","                75.00"
"Flora","White","                32.00"
"Fiano Bianco","White","                16.00"
"Fiano","Dessert","                45.50"
"Fiano","Fortified","                20.00"
"Fiano","Sparkling","                23.00"
"Fiano","White","                26.82"
"Feteascǎ Regalǎ","White","                10.83"
"Feteasca Neagra","Red","                19.25"
"Feteasca","Red","                 8.00"
"Feteasca","White","                16.67"
"Fernão Pires","Dessert","                14.67"
"Fernão Pires","Fortified","                16.50"
"Fernão Pires","Red","                50.00"
"Fernão Pires","Sparkling",NULL
"Fernão Pires","White","                20.62"
"Fer Servadou","Red","                18.00"
"Favorita","White","                22.25"
"Falanghina","Dessert","                48.50"
"Falanghina","Sparkling","                37.67"
"Falanghina","White","                19.81"
"Espadeiro","Rose",NULL
"Erbaluce","Sparkling","                33.33"
"Erbaluce","White","                22.50"
"Encruzado","Dessert","                14.00"
"Encruzado","Red","                18.00"
"Encruzado","White","                23.27"
"Enantio","Red",NULL
"Emir","White","                16.33"
"Elbling","White","                16.00"
"Ekigaïna","Red","                15.00"
"Ehrenfelser","White","                20.00"
"Edelzwicker","White","                18.40"
"Durif","Red","                30.80"
"Durello","White","                22.00"
"Durella","Sparkling","                33.39"
"Duras","Dessert",NULL
"Duras","Red","                21.33"
"Dorona","White",NULL
"Dornfelder","Red","                17.68"
"Doña Blanca","White","                50.50"
"Dolcetto","Red","                20.36"
"Dolcetto","Rose","                15.00"
"Dolcetto","White","                18.00"
"Diamond","White","                10.00"
"Debit","Dessert","               130.00"
"Debit","White","                22.00"
"Dafni","White","                20.00"
"Cserszegi Fűszeres","White","                 9.00"
"Crespiello","Red","                52.00"
"Counoise","Red","                31.05"
"Counoise","Rose","                22.00"
"Côt","Red","                31.67"
"Corvina","Dessert","                48.72"
"Corvina","Red","                48.84"
"Corvina","Sparkling",NULL
"Corvina","White","                66.00"
"Cortese","Red","                17.75"
"Cortese","Rose","                15.50"
"Cortese","Sparkling","                27.25"
"Cortese","White","                19.51"
"Cordisco","Red",NULL
"Colorino","Red","                39.33"
"Colombard-Ugni Blanc","White","                10.33"
"Colombard-Sauvignon Blanc","White","                11.24"
"Colombard","Sparkling","                42.00"
"Colombard","White","                15.32"
"Códega do Larinho","White","                18.00"
"Coda di Volpe","Red","                14.00"
"Coda di Volpe","White","                19.09"
"Cococciola","White","                23.00"
"Claret","Red","                44.46"
"Claret","White","                30.00"
"Clairette","Sparkling","                20.00"
"Clairette","White","                35.67"
"Cinsault","Red","                27.65"
"Cinsault","Rose","                13.45"
"Cinsault","White","                 9.00"
"Ciliegiolo","Red","                29.22"
"Chinuri","White","                25.33"
"Chenin Blanc-Viognier","White","                15.56"
"Chenin Blanc-Verdelho","White","                35.00"
"Chenin Blanc-Sauvignon Blanc","White","                10.50"
"Chenin Blanc-Chardonnay","Sparkling","                17.43"
"Chenin Blanc-Chardonnay","White","                10.64"
"Chenin Blanc","Dessert","                47.19"
"Chenin Blanc","Red","                14.00"
"Chenin Blanc","Sparkling","                20.18"
"Chenin Blanc","White","                19.92"
"Chelois","Red","                22.50"
"Chasselas","White","                25.19"
"Chardonnay Weissburgunder","Dessert","                58.00"
"Chardonnay Weissburgunder","White","                25.00"
"Chardonnay-Viognier","Red","                19.00"
"Chardonnay-Viognier","White","                14.79"
"Chardonnay-Semillon","Dessert","                19.00"
"Chardonnay-Semillon","White","                16.88"
"Chardonnay-Sauvignon Blanc","White","                15.57"
"Chardonnay-Sauvignon","White","                11.43"
"Chardonnay-Riesling","White","                24.00"
"Chardonnay-Pinot Gris","White","                15.00"
"Chardonnay-Pinot Grigio","White","                 9.50"
"Chardonnay-Pinot Blanc","Dessert","                54.00"
"Chardonnay-Pinot Blanc","White","                29.00"
"Chardonnay-Macabeo","White","                10.00"
"Chardonnay-Albariño","White","                31.00"
"Chardonnay","Dessert","                38.97"
"Chardonnay","Port/Sherry","                35.50"
"Chardonnay","Red","                30.57"
"Chardonnay","Rose","                14.83"
"Chardonnay","Sparkling","                66.94"
"Chardonnay","White","                31.08"
"Chardonelle","White","                30.00"
"Chardonel","White","                11.00"
"Charbono","Red","                31.65"
"Charbono","Rose","                22.67"
"Chancellor","Red","                16.00"
"Chancellor","Sparkling","                55.00"
"Champagne Blend","Dessert","                20.00"
"Champagne Blend","Port/Sherry","                30.00"
"Champagne Blend","Red","                33.00"
"Champagne Blend","Rose","                49.80"
"Champagne Blend","Sparkling","                67.96"
"Champagne Blend","White","                 9.00"
"Chambourcin","Dessert","                35.00"
"Chambourcin","Red","                17.44"
"Chambourcin","Rose","                16.50"
"Cesanese d'Affile","Red","                23.83"
"Cesanese","Red","                20.00"
"Cercial","White","                50.00"
"Cerceal","White","                41.00"
"Centesimino","Red","                36.00"
"Cencibel","Red","                18.86"
"Cayuga","White","                18.33"
"Catarratto","Port/Sherry","                12.00"
"Catarratto","Red","                17.00"
"Catarratto","Sparkling","                24.00"
"Catarratto","White","                19.27"
"Catalanesca","White","                26.00"
"Castelão","Red","                15.73"
"Castelão","Rose","                13.00"
"Castelão","Sparkling","                17.00"
"Castelão","White","                30.00"
"Casavecchia","Red","                43.88"
"Carricante","Sparkling","                40.17"
"Carricante","White","                36.84"
"Carnelian","Red","                13.50"
"Carmenère-Syrah","Red","                19.25"
"Carmenère-Cabernet Sauvignon","Red","                25.40"
"Carmenère","Red","                21.13"
"Carmenère","Rose","                13.50"
"Carmenère","White","                13.67"
"Cariñena-Garnacha","Red","                44.25"
"Carineña","Red","                19.71"
"Carignano","Red","                37.22"
"Carignano","Rose","                14.00"
"Carignane","Red","                25.58"
"Carignane","Rose","                17.00"
"Carignan-Syrah","Red","                46.25"
"Carignan-Grenache","Red","                31.36"
"Carignan","Red","                40.70"
"Carignan","Rose","                16.00"
"Carcajolu","Red","                21.00"
"Caprettone","Sparkling","                22.00"
"Caprettone","White","                18.50"
"Cannonau","Red","                28.90"
"Cannonau","White","                31.50"
"Canaiolo","Red","                40.67"
"Camarlet","White","                25.00"
"Çalkarası","Rose","                19.00"
"Caladoc","Red","                17.50"
"Cagnulari","Red","                17.00"
"Cabernet Sauvignon Grenache","Red","                12.00"
"Cabernet Sauvignon Grenache","Rose","                23.00"
"Cabernet Sauvignon and Tinta Roriz","Red","                 8.00"
"Cabernet Sauvignon-Tempranillo","Red","                12.68"
"Cabernet Sauvignon-Tempranillo","White","                18.00"
"Cabernet Sauvignon-Syrah","Dessert","                52.50"
"Cabernet Sauvignon-Syrah","Red","                35.57"
"Cabernet Sauvignon-Syrah","Rose","                11.00"
"Cabernet Sauvignon-Shiraz","Red","                25.91"
"Cabernet Sauvignon-Shiraz","Rose","                 9.00"
"Cabernet Sauvignon-Sangiovese","Red","                36.97"
"Cabernet Sauvignon-Petit Verdot","Red","                16.00"
"Cabernet Sauvignon-Mourvèdre","Red","                48.00"
"Cabernet Sauvignon-Merlot-Shiraz","Red","                19.60"
"Cabernet Sauvignon-Merlot","Dessert","                39.00"
"Cabernet Sauvignon-Merlot","Red","                25.41"
"Cabernet Sauvignon-Merlot","Rose","                18.00"
"Cabernet Sauvignon-Merlot","White","                 9.00"
"Cabernet Sauvignon-Malbec","Red","                41.18"
"Cabernet Sauvignon-Feteasca Neagra","Red","                14.00"
"Cabernet Sauvignon-Carmenère","Red","                23.88"
"Cabernet Sauvignon-Carmenère","White","                16.00"
"Cabernet Sauvignon-Cabernet Franc","Red","                44.07"
"Cabernet Sauvignon-Barbera","Red","                42.50"
"Cabernet Sauvignon","Dessert","                40.56"
"Cabernet Sauvignon","Fortified","                50.00"
"Cabernet Sauvignon","Port/Sherry","                41.00"
"Cabernet Sauvignon","Red","                45.05"
"Cabernet Sauvignon","Rose","                14.24"
"Cabernet Sauvignon","Sparkling","                31.75"
"Cabernet Sauvignon","White","                44.51"
"Cabernet Pfeffer","Red","                38.33"
"Cabernet Moravia","Red","                18.00"
"Cabernet Merlot","Dessert","                17.00"
"Cabernet Merlot","Red","                21.28"
"Cabernet Merlot","Rose","                12.00"
"Cabernet Gernischt","Red","                30.00"
"Cabernet Franc-Tempranillo","Red","                18.00"
"Cabernet Franc-Petit Verdot","Red","                13.00"
"Cabernet Franc-Merlot","Red","                50.88"
"Cabernet Franc-Malbec","Red","                45.43"
"Cabernet Franc-Lemberger","Red","                20.00"
"Cabernet Franc-Carmenère","Red","                16.63"
"Cabernet Franc-Cabernet Sauvignon","Red","                33.67"
"Cabernet Franc-Cabernet Sauvignon","Sparkling",NULL
"Cabernet Franc","Dessert","                66.25"
"Cabernet Franc","Port/Sherry","                28.00"
"Cabernet Franc","Red","                34.29"
"Cabernet Franc","Rose","                18.02"
"Cabernet Franc","Sparkling","                22.41"
"Cabernet Franc","White","                28.67"
"Cabernet Blend","Dessert","                24.00"
"Cabernet Blend","Red","                56.19"
"Cabernet Blend","Rose","                11.00"
"Cabernet Blend","White","                40.00"
"Cabernet-Syrah","Red","                26.24"
"Cabernet-Shiraz","Red","                96.50"
"Cabernet-Malbec","Red","                11.00"
"Cabernet","Dessert","                40.00"
"Cabernet","Red","                19.27"
"Cabernet","Rose","                12.50"
"Bukettraube","White","                18.00"
"Bual","Dessert","               230.00"
"Bual","Fortified","               135.00"
"Bual","Port/Sherry","                34.00"
"Braucol","Red","                29.86"
"Brachetto","Dessert","                18.60"
"Brachetto","Red","                15.00"
"Brachetto","Sparkling","                18.00"
"Bovale","Red","                35.00"
"Bouvier","Dessert","                29.00"
"Bouchet","Red","                30.67"
"Bordeaux-style White Blend","Dessert","                51.75"
"Bordeaux-style White Blend","Red","                20.00"
"Bordeaux-style White Blend","White","                31.90"
"Bordeaux-style Red Blend","Dessert","                37.00"
"Bordeaux-style Red Blend","Port/Sherry","                22.00"
"Bordeaux-style Red Blend","Red","                49.65"
"Bordeaux-style Red Blend","Rose","                15.67"
"Bordeaux-style Red Blend","Sparkling","                20.00"
"Bordeaux-style Red Blend","White","                31.08"
"Bonarda","Red","                15.74"
"Bonarda","White","                 9.00"
"Bombino Nero","Rose","                11.00"
"Bombino Bianco","White","                20.40"
"Bogdanjuša","White","                17.00"
"Boğazkere","Red","                24.80"
"Bobal-Tempranillo","Red","                12.00"
"Bobal-Cabernet Sauvignon","Red","                 9.00"
"Bobal","Red","                19.42"
"Bobal","Sparkling","                10.50"
"Boal","Fortified","               180.00"
"Blaufränkisch","Dessert","                29.00"
"Blaufränkisch","Red","                34.13"
"Blaufränkisch","Rose","                15.17"
"Blaufränkisch","Sparkling","                19.00"
"Blaufränkisch","White","                21.50"
"Blauer Wildbacher","Rose","                13.00"
"Blauer Portugieser","Red","                15.40"
"Blauburgunder","Red","                19.00"
"Blauburger","Red","                17.00"
"Blatina","Red","                12.50"
"Blanc du Bois","Dessert","                40.00"
"Blanc du Bois","Fortified","                31.50"
"Blanc du Bois","White","                19.67"
"Black Muscat","Dessert","                21.31"
"Black Muscat","Port/Sherry","                37.00"
"Black Muscat","Red","                 7.00"
"Black Muscat","Rose","                10.00"
"Black Monukka","Dessert","                25.00"
"Bical","White","                15.07"
"Biancu Gentile","White","                36.00"
"Biancolella","White","                26.00"
"Biancale","White","                18.00"
"Bastardo","Dessert","                 9.00"
"Bastardo","Red","                30.67"
"Barbera-Nebbiolo","Red","                30.00"
"Barbera","Dessert","                20.00"
"Barbera","Red","                25.82"
"Barbera","Rose","                17.75"
"Barbera","Sparkling","                28.00"
"Barbera","White","                21.67"
"Baga-Touriga Nacional","Red","                40.00"
"Baga","Red","                35.56"
"Baga","Sparkling","                15.50"
"Baco Noir","Red","                26.17"
"Bacchus","White",NULL
"Babosa Negro","Red","                45.00"
"Babić","Red","                35.00"
"Băbească neagră","Red","                15.00"
"Azal","White","                14.00"
"Avesso","Sparkling","                30.00"
"Avesso","White","                15.33"
"Auxerrois","Sparkling","                23.80"
"Auxerrois","White","                22.81"
"Austrian white blend","Dessert","                45.27"
"Austrian white blend","Sparkling","                25.00"
"Austrian white blend","White","                27.53"
"Austrian Red Blend","Dessert","                17.00"
"Austrian Red Blend","Red","                36.45"
"Austrian Red Blend","Sparkling","                15.00"
"Athiri","White","                16.00"
"Assyrtiko-Sauvignon Blanc","White","                21.00"
"Assyrtiko","White","                23.77"
"Assyrtico","Red","                23.50"
"Assyrtico","White","                22.75"
"Asprinio","Sparkling",NULL
"Asprinio","White","                23.50"
"Arneis","Dessert","                50.00"
"Arneis","Red","                14.00"
"Arneis","Sparkling","                32.00"
"Arneis","White","                20.12"
"Arinto-Chardonnay","White","                17.50"
"Arinto","Sparkling","                20.67"
"Arinto","White","                16.51"
"Argaman","Red","                40.67"
"Areni","Red","                33.67"
"Aragonez","Red","                25.89"
"Aragonês","Red","                25.36"
"Aragonês","White","                39.00"
"Apple","Dessert","                25.60"
"Antão Vaz","White","                21.58"
"Ansonica","White","                23.33"
"Angevine","White","                12.25"
"Alvarinho-Trajadura","White","                11.50"
"Alvarinho-Chardonnay","White","                11.50"
"Alvarinho","Sparkling","                25.00"
"Alvarinho","White","                18.48"
"Alvarelhão","Red","                19.75"
"Altesse","White","                17.45"
"Alsace white blend","Dessert","                47.00"
"Alsace white blend","White","                32.84"
"Aligoté","Red","                14.00"
"Aligoté","White","                19.32"
"Alicante Bouschet","Fortified","                35.00"
"Alicante Bouschet","Red","                29.95"
"Alicante Bouschet","Rose","                24.00"
"Alicante Bouschet","Sparkling","                 7.00"
"Alicante","Red","                24.75"
"Alicante","Rose","                15.00"
"Alfrocheiro","Red","                28.15"
"Alfrocheiro","Sparkling","                25.00"
"Aleatico","Dessert","                41.50"
"Aleatico","Rose","                25.00"
"Aleatico","White","                22.00"
"Alcamo","White","                10.00"
"Albillo","White","                20.00"
"Albarossa","Red","                35.00"
"Albariño","Red","                21.67"
"Albariño","Sparkling",NULL
"Albariño","White","                21.06"
"Albarín","White","                15.00"
"Albanello","White","                20.00"
"Albana","Dessert","                35.87"
"Albana","Red","                11.00"
"Albana","White","                18.28"
"Airen","White","                12.22"
"Aidani","White","                28.50"
"Aglianico","Red","                38.23"
"Aglianico","Rose","                19.77"
"Aglianico","Sparkling","                42.38"
"Aglianico","White","                32.50"
"Agiorgitiko","Red","                20.86"
"Agiorgitiko","Rose","                13.00"
"Agiorgitiko","White","                18.00"
"Abouriou","Red","                28.00"
"$17 ","Red","                17.00"
"$12 ","Red","                12.00"
