"varietal","category","average_price_varietal"
"Tocai Rosso","Sparkling","                14.50"
"Tocai Friulano","Dessert","                20.00"
"Tocai Friulano","White","                24.22"
"Tocai","White","                20.82"
"Tinto Velasco","Red","                 9.00"
"Tinto Fino","Red","                59.39"
"Tinto Fino","Rose","                19.00"
"Tinto del Pais","Red","                44.38"
"Tintilia ","Red","                25.00"
"Tinta Roriz","Red","                34.27"
"Tinta Roriz","Rose","                 9.00"
"Tinta Roriz","Sparkling","                40.00"
"Tinta Negra Mole","Fortified","               103.75"
"Tinta Negra Mole","Port/Sherry","                14.00"
"Tinta Miúda","Red","                18.67"
"Tinta Francisca","Red","                50.00"
"Tinta Fina","Red","                26.79"
"Tinta del Toro","Red","                25.33"
"Tinta del Pais","Red","                30.67"
"Tinta de Toro","Red","                45.22"
"Tinta Cao","Red","                14.00"
"Tinta Caiada","Red","                16.00"
"Tinta Barroca","Red","                30.20"
"Tinta Amarela","Red","                30.00"
"Timorasso","White","                45.75"
"Thrapsathiri","White","                25.00"
"Terret Blanc","White",NULL
"Terrantez","Fortified","               236.00"
"Teroldego Rotaliano","Red","                17.00"
"Teroldego","Red","                30.71"
"Teroldego","Sparkling","                40.00"
"Teran","Red","                24.55"
"Tempranillo Blend","Red","                37.29"
"Tempranillo Blend","Rose","                 9.00"
"Tempranillo Blend","White","                12.00"
"Tempranillo Blanco","White","                29.25"
"Tempranillo-Tannat","Red","                20.00"
"Tempranillo-Syrah","Red","                19.50"
"Tempranillo-Shiraz","Red","                13.19"
"Tempranillo-Merlot","Red","                14.80"
"Tempranillo-Merlot","Rose","                15.00"
"Tempranillo-Malbec","Red","                29.00"
"Tempranillo-Garnacha","Red","                12.45"
"Tempranillo-Garnacha","Rose","                11.00"
"Tempranillo-Cabernet Sauvignon","Red","                39.54"
"Tempranillo","Dessert","                27.00"
"Tempranillo","Red","                31.18"
"Tempranillo","Rose","                11.74"
"Tempranillo","Sparkling","                12.00"
"Tempranillo","White","                18.80"
"Tannat-Syrah","Red","                17.50"
"Tannat-Merlot","Red","                16.89"
"Tannat-Malbec","Red","                60.00"
"Tannat-Cabernet Franc","Red","                21.17"
"Tannat-Cabernet","Red","                20.18"
"Tannat","Dessert","                31.00"
"Tannat","Fortified","                39.67"
"Tannat","Port/Sherry","                30.00"
"Tannat","Red","                31.19"
"Tannat","Rose","                25.33"
"Tannat","Sparkling","                15.00"
"Tamjanika","White","                20.00"
"Tamianka","White","                20.00"
"Tămâioasă Românească","White","                11.00"
"Tai","White","                10.00"
"Syrah-Xinomavro","Red","                18.00"
"Syrah-Viognier","Red","                49.96"
"Syrah-Tempranillo","Red","                36.89"
"Syrah-Petite Sirah","Red","                45.07"
"Syrah-Petit Verdot","Red","                42.00"
"Syrah-Mourvèdre","Red","                32.43"
"Syrah-Merlot","Red","                25.50"
"Syrah-Merlot","Rose","                11.00"
"Syrah-Malbec","Red","                24.00"
"Syrah-Grenache-Viognier","Red","                14.00"
"Syrah-Grenache","Red","                27.13"
"Syrah-Grenache","Rose","                11.67"
"Syrah-Garnacha","Red","                13.00"
"Syrah-Carmenère","Red","                11.00"
"Syrah-Carignan","Red","                24.20"
"Syrah-Cabernet Sauvignon","Red","                46.31"
"Syrah-Cabernet Franc","Red","                77.00"
"Syrah-Cabernet","Red","                26.54"
"Syrah-Bonarda","Red","                14.00"
"Syrah","Dessert","                29.70"
"Syrah","Fortified","                33.50"
"Syrah","Port/Sherry","                46.83"
"Syrah","Red","                36.66"
"Syrah","Rose","                18.35"
"Syrah","Sparkling","                23.17"
"Syrah","White","                26.86"
"Symphony","Dessert","                 8.00"
"Symphony","White","                16.00"
"Sylvaner","White","                22.86"
"Susumaniello","Red","                30.75"
"Sumoll","Sparkling","                30.00"
"Steen","White","                 8.33"
"St. Vincent","Red","                24.00"
"St. Laurent","Red","                33.75"
"St. George","Red","                11.33"
"Spätburgunder","Red","                62.45"
"Spätburgunder","Rose","                14.00"
"Spätburgunder","White","                20.50"
"Sparkling Blend","Dessert","                12.50"
"Sparkling Blend","Port/Sherry","                34.00"
"Sparkling Blend","Red","                35.20"
"Sparkling Blend","Rose","                18.20"
"Sparkling Blend","Sparkling","                29.50"
"Sparkling Blend","White","                20.60"
"Souzao","Red","                30.00"
"Sousão","Red","                38.63"
"Sirica","Red","                32.00"
"Siria","Red","                50.00"
"Siria","White","                15.69"
"Silvaner-Traminer","White","                25.00"
"Silvaner","Dessert","               137.83"
"Silvaner","White","                30.98"
"Siegerrebe","White","                14.00"
"Sideritis","White","                23.00"
"Shiraz-Viognier","Red","                43.77"
"Shiraz-Viognier","White","                20.00"
"Shiraz-Tempranillo","Red","                 9.83"
"Shiraz-Tempranillo","Rose","                10.00"
"Shiraz-Roussanne","Red","                29.00"
"Shiraz-Pinotage","Red","                11.20"
"Shiraz-Mourvèdre","Red","                19.20"
"Shiraz-Merlot","Red","                10.00"
"Shiraz-Malbec","Red","                15.45"
"Shiraz-Malbec","Rose","                 8.00"
"Shiraz-Grenache","Red","                22.05"
"Shiraz-Grenache","Rose","                10.50"
"Shiraz-Grenache","Sparkling","                11.00"
"Shiraz-Cabernet Sauvignon","Red","                20.27"
"Shiraz-Cabernet Sauvignon","Sparkling","                11.00"
"Shiraz-Cabernet","Red","                19.00"
"Shiraz","Dessert","                56.00"
"Shiraz","Fortified","                26.00"
"Shiraz","Port/Sherry","                40.00"
"Shiraz","Red","                36.35"
"Shiraz","Rose","                10.06"
"Shiraz","Sparkling","                22.88"
"Shiraz","White","                37.67"
"Sherry","Dessert","                20.00"
"Sherry","Port/Sherry","                31.89"
"Sherry","Red","                20.00"
"Seyval Blanc","Fortified","                45.00"
"Seyval Blanc","Sparkling","                31.67"
"Seyval Blanc","White","                17.16"
