ID,alcohol,category,country,description,designation,price,rating,region,subregion,subsubregion,title,url,varietal,vintage,winery,Lat,Lng
47,14.5,Red,US,"A very earthy, spicy wine, this delights in red cherry, pomegranate and black tea, the body complex and full bodied with impressive density. Crisp, fresh acidity lies beneath the richness, complementing and refreshing.",Fighting Brothers,50.0,94.0,California,Sonoma,Sonoma Coast,Saxon Brown 2014 Fighting Brothers Pinot Noir (Sonoma Coast),https://www.winemag.com/buying-guide/saxon-brown-2014-fighting-brothers-pinot-noir-sonoma-coast-308955/,Pinot Noir,2014.0,Saxon Brown,36.778261,-119.4179324
48,13.5,Red,Italy,"Made with organically cultivated Sangiovese, this fragrant elegant red opens with enticing scents of underbrush, sunbaked earth, wild berry, violet, crushed mint and a balsamic whiff of camphor. Smooth and savory, the linear palate has surprising vibrancy for such a hot vintage, delivering juicy Marasca cherry, strawberry compote, star anise and white pepper. Elegant fine-grained tannins lend polished support while a coffee note lingers on the close. Drink through 2025.",,24.0,94.0,Tuscany,Vino Nobile di Montepulciano,,Salcheto 2015  Vino Nobile di Montepulciano,https://www.winemag.com/buying-guide/salcheto-2015-vino-nobile-di-montepulciano-307655/,Sangiovese,2015.0,Salcheto,43.771051299999996,11.248620800000001
49,15.5,Red,Italy,"Cocoa, baked plum, toast, culinary spice and leather aromas shape the nose. Full bodied and elegant, the smooth, dense palate doles out fleshy black cherry, blackberry jam, licorice and clove while velvety tannins provide structure. It closes on an espresso note. Drink through 2027.",Costasera Riserva,80.0,94.0,Veneto,Amarone della Valpolicella Classico,,Masi 2012 Costasera Riserva  (Amarone della Valpolicella Classico),https://www.winemag.com/buying-guide/masi-2012-costasera-riserva-amarone-della-valpolicella-classico-307642/,Red Blend,2012.0,Masi,45.4414662,12.3152595
50,16.0,Red,Italy,"Enticing scents of cocoa, blackberry preserve, new leather and baking spice fill the glass. The full-bodied palate combines velvety finesse and power, delivering spiced plum, raisin, clove and tobacco set against polished fine-grained atannins. Fresh acidity lifts the rich flavors while a licorice note lingers on the close. Drink 2021–2031.",Campolongo di Torbe,160.0,94.0,Veneto,Amarone della Valpolicella Classico,,Masi 2011 Campolongo di Torbe  (Amarone della Valpolicella Classico),https://www.winemag.com/buying-guide/masi-2011-campolongo-di-torbe-amarone-della-valpolicella-classico-307647/,Red Blend,2011.0,Masi,45.4414662,12.3152595
51,14.8,Red,US,"This red is floral and brimming in stony minerality. Tight-grained tannins wrap around spicy red fruit and savory notions of forest floor and black tea as full-bodied ripeness is balanced by walls of structure and fresh, juicy acidity.",Pratt Vineyard,55.0,94.0,California,Sonoma,Sonoma Coast,MacPhail 2016 Pratt Vineyard Pinot Noir (Sonoma Coast),https://www.winemag.com/buying-guide/macphail-2016-pratt-vineyard-pinot-noir-sonoma-coast-308669/,Pinot Noir,2016.0,MacPhail,36.778261,-119.4179324
52,14.1,Red,US,"Tightly wound fruit flavors strike a sharp raspberry note, with a zesty highlight of orange peel emphasizing the bright acidity. The concentration and length are admirable, suggesting that this wine will age very well over the next decade. Drink through 2030.",Winery Hill Vineyard,100.0,94.0,Oregon,Willamette Valley,Dundee Hills,Domaine Serene 2015 Winery Hill Vineyard Pinot Noir (Dundee Hills),https://www.winemag.com/buying-guide/domaine-serene-2015-winery-hill-vineyard-pinot-noir-dundee-hills-308076/,Pinot Noir,2015.0,Domaine Serene,43.8041334,-120.55420120000001
53,14.5,Red,US,"This is a blend of fruit from the Mark Bradford, Grace and Côte Sud vineyards. Designed as a snapshot of the estate's overall terroir, it succeeds admirably, resulting in a smooth, forward and inviting wine which is ready for near-term consumption. Lovely red berry and cherry fruit is highlighted by nuanced threads of tea and tobacco. The wine spent 18 months in half new French oak barrels.",Aspect,125.0,94.0,Oregon,Willamette Valley,Dundee Hills,Domaine Serene 2015 Aspect Pinot Noir (Dundee Hills),https://www.winemag.com/buying-guide/domaine-serene-2015-aspect-pinot-noir-dundee-hills-308077/,Pinot Noir,2015.0,Domaine Serene,43.8041334,-120.55420120000001
54,14.0,Red,France,"Earth and spice juxtapose delicate black-cherry flavor in this elegantly evolving wine. Tasted five years after bottling, it's already showing prominent notes of sandalwood and forest floor along with umami-rich notes of leather. Moderately full bodied and freshly balanced, it's a stately wine finishing on ripe, feathery tannins. Lovely now it should hold till 2023.",Vieilles Vignes,58.0,94.0,Rhône Valley,Châteauneuf-du-Pape,,Domaine la Millière 2013 Vieilles Vignes Red (Châteauneuf-du-Pape),https://www.winemag.com/buying-guide/domaine-la-milliere-2013-vieilles-vignes-red-chateauneuf-du-pape/,Rhône-style Red Blend,2013.0,Domaine la Millière,45.1695797,5.4502821
55,14.5,Red,France,"Ripe, juicy blackberry and mulberry flavors are muted by darker shades of dried garrigue, bramble and earth in this bold but balanced Syrah. It's black-fruit flavors are luscious and youthful still, vibrantly edged with acidity and briskly textured tannins. Enjoyable now it should improve through 2035 and hold further.",Seigneur de Maugiron,67.0,94.0,Rhône Valley,Côte Rôtie,,Delas Frères 2015 Seigneur de Maugiron  (Côte Rôtie),https://www.winemag.com/buying-guide/delas-freres-2015-seigneur-de-maugiron-cote-rotie/,Syrah,2015.0,Delas Frères,45.1695797,5.4502821
56,14.5,Red,US,"Inky in the glass, this rich and structured bottling offers a plump black-currant aroma, along with pinches of pepper and tightly woven oak. The palate lands softly and then the tannins rise up, offering savory flavors of charred beef, dark chocolate and black cherry. Drink 2020–2036.",Reserve,56.0,94.0,California,Central Coast,Paso Robles,Daou 2016 Reserve Cabernet Sauvignon (Paso Robles),https://www.winemag.com/buying-guide/daou-2016-reserve-cabernet-sauvignon-paso-robles-308228/,Cabernet Sauvignon,2016.0,Daou,36.778261,-119.4179324
