ID,alcohol,category,country,description,designation,price,rating,region,subregion,subsubregion,title,url,varietal,vintage,winery,Lat,Lng
77,14.0,Red,Italy,"Perfumed berry, tilled earth, pressed rose, new leather, cake spice and a balsamic note are just some of the aromas you'll find on this fragrant, delicious red. It's linear, structured and loaded with finesse, delivering ripe Marasca cherry, raspberry compote, licorice and tobacco. Taut refined tannins and fresh acidity provide an age-worthy framework. Drink 2022–2035.",Vecchie Viti del Salco,85.0,96.0,Tuscany,Vino Nobile di Montepulciano,,Salcheto 2015 Vecchie Viti del Salco  (Vino Nobile di Montepulciano),https://www.winemag.com/buying-guide/salcheto-2015-vecchie-viti-del-salco-vino-nobile-di-montepulciano-307909/,Sangiovese,2015.0,Salcheto,43.771051299999996,11.248620800000001
78,14.9,Red,US,"Always one of the most immediately delicious and powerful wines in the Daou brothers' portfolio, this blend of 42% Cabernet Sauvignon, 42% Syrah and 16% Petit Verdot shows intense black fruit, roasted coffee and charred meat on the nose. It's luxuriously soft yet firmly framed by polished tannins on the palate, where black plum, espresso and caramel flavors dominate.",Mayote,100.0,96.0,California,Central Coast,Adelaida District,Daou 2015 Mayote Cabernet Sauvignon-Syrah (Adelaida District),https://www.winemag.com/buying-guide/daou-2015-mayote-cabernet-sauvignon-syrah-adelaida-district/,Cabernet Sauvignon-Syrah,2015.0,Daou,36.778261,-119.4179324
79,14.4,Red,US,"Dark raspberry, packed lilacs, crushed lavender and a hint of game make for a powerful yet elegant nose. The palate is framed by strong, silty and grippy tannins, with zippy acidity that delivers flavors of black raspberry, pepper spice and roasted boar.",,50.0,96.0,California,Central Coast,Edna Valley,Center of Effort 2015 Pinot Noir (Edna Valley),https://www.winemag.com/buying-guide/center-of-effort-2015-pinot-noir-edna-valley-307571/,Pinot Noir,2015.0,Center of Effort,36.778261,-119.4179324
80,15.1,Red,US,"This is a stunningly beautiful wine at this price point, age-worthy and complex, it will stay with you long after it's gone. Opening in cedar, clove and cinnamon, it follows with a dusting of cocoa powder and toasted oak, before it offers a lingering thread of mineral in the form of crushed rock, violet, red and black currant. Structured as it goes, it finishes soft and silky. This is a wine for the cellar as well.",Blueprint,80.0,96.0,California,Napa,Napa Valley,Lail 2016 Blueprint Cabernet Sauvignon (Napa Valley),https://www.winemag.com/buying-guide/lail-2016-blueprint-cabernet-sauvignon-napa-valley/,Cabernet Sauvignon,2016.0,Lail,36.778261,-119.4179324
81,13.0,Red,US,"Part of the historic winery's new reserve line, this intense wine delivers a roasted pork aroma against black cherry, dried rose petals and charred wood. There is a compelling sharpness of cranberry, pomegranate and raspberry flavors on the palate, with hints of green peppercorn, moss and tea leaves.",The Captain Reserve,100.0,96.0,California,Central Coast,Santa Maria Valley,Bien Nacido Estate 2015 The Captain Reserve Pinot Noir (Santa Maria Valley),https://www.winemag.com/buying-guide/bien-nacido-estate-2015-the-captain-reserve-pinot-noir-santa-maria-valley/,Pinot Noir,2015.0,Bien Nacido Estate,36.778261,-119.4179324
82,13.5,Red,US,"Intense cranberry aromas meet with smoked pork roast, crushed slate and pinches of sage, thyme and white pepper on the nose of this luxury-level bottling. The palate is florally flush in touches of rose and tarragon, set against snappy red-plum fruit and racy acidity.",LXXIII Reserve,100.0,96.0,California,Central Coast,Santa Maria Valley,Bien Nacido Estate 2015 LXXIII Reserve Pinot Noir (Santa Maria Valley),https://www.winemag.com/buying-guide/bien-nacido-estate-2015-lxxiii-reserve-pinot-noir-santa-maria-valley/,Pinot Noir,2015.0,Bien Nacido Estate,36.778261,-119.4179324
83,14.1,Red,US,"Fresh on the palate and floral on the nose in a bouquet of rose, lavender and crushed herb, this perennially beautiful, delicate wine benefits from the addition of 7% Cabernet Franc and 3% Petit Verdot, also from the organically farmed estate. Pencil shavings, coffee and a touch of tobacco add to its savory, earthy nature, contributing to its overall structure and elegance. Enjoy best from 2025 through 2030 if you're able to wait.",Family Estate Grown,225.0,97.0,California,Napa,St. Helena,Spottswoode 2015 Family Estate Grown Cabernet Sauvignon (St. Helena),https://www.winemag.com/buying-guide/spottswoode-2015-family-estate-grown-cabernet-sauvignon-st-helena/,Cabernet Sauvignon,2015.0,Spottswoode,36.778261,-119.4179324
84,14.5,Red,US,"This vintage of the perennial knockout is exceptional—a concentrated blend of 90% Cabernet Sauvignon, 7% Petit Verdot, 2% Cabernet Franc and 1% Malbec. Pencil shavings, red currant and red plum are complemented by hints of crushed rock and cocoa, with persistent acidity maintaining balance. Like so many of its forebears, this is a wine well worth cellaring; enjoy 2025–2035.",Insignia Estate Grown,275.0,97.0,California,Napa,Napa Valley,Joseph Phelps 2015 Insignia Estate Grown Red (Napa Valley),https://www.winemag.com/buying-guide/joseph-phelps-2015-insignia-estate-grown-red-napa-valley/,Bordeaux-style Red Blend,2015.0,Joseph Phelps,36.778261,-119.4179324
85,15.5,Red,US,"Dark and thick in appearance, this estate blend from winemaker Adam Henkel and proprietor Roger Bower shows a tremendous cassis aroma, with splashes of smoke, dried purple flowers and baking spice. The palate begins with a lavish entry of polished tannins that still have some teeth, providing tension that carries the dark fruit flavors deep into the finish.",Estate Selection,150.0,97.0,California,Central Coast,Happy Canyon of Santa Barbara,Crown Point 2015 Estate Selection Red (Happy Canyon of Santa Barbara),https://www.winemag.com/buying-guide/crown-point-2015-estate-selection-red-happy-canyon-of-santa-barbara/,Bordeaux-style Red Blend,2015.0,Crown Point,36.778261,-119.4179324
86,14.7,Red,US,"The Daou brothers are intent on making this brand the most expensive and luxurious in Paso Robles. This vintage begins with intense aromas of roasted blackberry, tangy black-plum skin and crushed peppercorn. The palate is expertly layered in flavors of cassis, caramel, gravel, loam, cocoa and a hint of licorice. The tannins are firm but already approachable.",,275.0,97.0,California,Central Coast,Adelaida District,Patrimony 2015 Cabernet Sauvignon (Adelaida District),https://www.winemag.com/buying-guide/patrimony-2015-cabernet-sauvignon-adelaida-district/,Cabernet Sauvignon,2015.0,Patrimony,36.778261,-119.4179324
87,14.0,Red,France,"Smoky tones of charcuterie and dried garrigue meld into ripe, luscious black plum and cassis here. A rich, densely concentrated Syrah, it's keenly balanced by crisp acidity and firm mineral tones. The finish is endless and unctuous, cushioned by sweet spice and silky, supple tannins. Gorgeous already it will only improve through 2027 and hold further.",La Landonne,280.0,97.0,Rhône Valley,Côte Rôtie,,Delas Frères 2015 La Landonne  (Côte Rôtie),https://www.winemag.com/buying-guide/delas-freres-2015-la-landonne-cote-rotie/,Syrah,2015.0,Delas Frères,45.1695797,5.4502821
88,15.5,Red,US,"This winery is focused on setting a new benchmark for what Cabernet Sauvignon from Santa Barbara can be, and this bottling is its best yet. Beautifully layered aromas of black cherry, baking spice, star anise and crushed slate lead into a roasted palate of black plum and chai spices, with acid that carries into the finish.",,150.0,97.0,California,Central Coast,Happy Canyon of Santa Barbara,Crown Point 2015 Cabernet Sauvignon (Happy Canyon of Santa Barbara),https://www.winemag.com/buying-guide/crown-point-2015-cabernet-sauvignon-happy-canyon-of-santa-barbara/,Cabernet Sauvignon,2015.0,Crown Point,36.778261,-119.4179324
89,17.0,Red,Italy,"Inviting aromas of tilled soil, underbrush and ripe dark-skinned berry lead the nose. The full-bodied concentrated palate delivers prune, raspberry compote, star anise and black pepper alongside big fine-grained tannins.",Capitel Monte Olmi Riserva,99.0,93.0,Veneto,Amarone della Valpolicella Classico,,Tedeschi 2012 Capitel Monte Olmi Riserva  (Amarone della Valpolicella Classico),https://www.winemag.com/buying-guide/tedeschi-2012-capitel-monte-olmi-riserva-amarone-della-valpolicella-classico/,Red Blend,2012.0,Tedeschi,45.4414662,12.3152595
90,14.5,Red,US,"A blend of Syrah, Grenache and Mourvèdre aged in concrete and neutral oak, this bottling offers concentrated aromas of black plum, strawberry paste, wild thyme and black pepper. That pepper carries deep in the palate, spicing up the black plum, tangy berry and caramelized pork flavors. It finishes on a lingering violet note.",Inceptive Estate Vineyard,35.0,93.0,California,Central Coast,Santa Ynez Valley,Zaca Mesa 2016 Inceptive Estate Vineyard Red (Santa Ynez Valley),https://www.winemag.com/buying-guide/zaca-mesa-2016-inceptive-estate-vineyard-red-santa-ynez-valley-308285/,Rhône-style Red Blend,2016.0,Zaca Mesa,36.778261,-119.4179324
91,15.5,Red,Italy,"Baked plum, pressed violet, smoke and nutmeg aromas pave the way on this bold red. The palate combines muscle and finesse, offering prune, black cherry extract, cake spice and tobacco framed in firm velvety tannins. The warmth of alcohol and a dollop of vanilla linger on the close. Drink now through 2026.",,120.0,93.0,Veneto,Amarone della Valpolicella Classico,,Zymè 2011  Amarone della Valpolicella Classico,https://www.winemag.com/buying-guide/zyme-2011-amarone-della-valpolicella-classico-308898/,Red Blend,2011.0,Zymè,45.4414662,12.3152595
92,13.5,Red,France,This single-vineyard wine is dense and firmly structured. Bold tannins and rich black fruits are developing well although remain very young. The structure and dense texture show the potential of the appellation. Drink this wine from 2020.,Clos du Grand Carquelin,43.0,93.0,Beaujolais,Moulin-à-Vent,,Château des Jacques 2016 Clos du Grand Carquelin  (Moulin-à-Vent),https://www.winemag.com/buying-guide/chateau-des-jacques-2016-clos-du-grand-carquelin-moulin-a-vent/,Gamay,2016.0,Château des Jacques,46.1134349,4.7263863
93,13.0,Red,France,"From one of the top vineyards in Fleurie, this wine is elegant, conveying a floral character as well as an opulent backdrop of dark black fruits. A rich wine with concentration and dense tannins, it needs to age further to become balanced and stylish. Drink from 2020.",Les Moriers,28.0,93.0,Beaujolais,Fleurie,,Domaine Anita 2017 Les Moriers  (Fleurie),https://www.winemag.com/buying-guide/domaine-anita-2017-les-moriers-fleurie/,Gamay,2017.0,Domaine Anita,46.1134349,4.7263863
94,14.5,Red,France,"The 37-acre vineyard, one of the cru's largest, is on the hill of Saint-Amour, close to the village church. It has produced a juicy wine, full of strawberry flavors and ripe acidity. Perfumed and textured, this wine is developing, but needs some time. Drink from 2020.",,16.0,93.0,Beaujolais,Saint-Amour,,Domaine de la Pirolette 2017  Saint-Amour,https://www.winemag.com/buying-guide/domaine-de-la-pirolette-2017-saint-amour/,Gamay,2017.0,Domaine de la Pirolette,46.1134349,4.7263863
95,13.0,Red,France,"The volcanic soil of this impressive vineyard gives powerful wines, like this. It is about tannins as much as fruit, but this will change. Wood aging has already done much to smooth the up-front structure and the fruit is developing well. But wait until 2021 for the wine to be at its best.",Côte du Py,40.0,93.0,Beaujolais,Morgon,,Domaine des Souchons 2016 Côte du Py  (Morgon),https://www.winemag.com/buying-guide/domaine-des-souchons-2016-cote-du-py-morgon/,Gamay,2016.0,Domaine des Souchons,46.1134349,4.7263863
96,15.6,Red,US,"Rich and roasty on the nose, this bottling offers charred blackberry, peppercorns, tar, coffee and grape seed on the nose. The palate is rounded and smoky as well, with grilled black-plum and fig flavors lifted by pepper dust and well integrate purple flowers. This feels lavish but high-toned due strong acid.",Sidekick By Karin Langer,40.0,93.0,California,Central Coast,Ballard Canyon,Bolt To Wines 2016 Sidekick By Karin Langer Syrah (Ballard Canyon),https://www.winemag.com/buying-guide/bolt-to-wines-2016-sidekick-by-karin-langer-syrah-ballard-canyon/,Syrah,2016.0,Bolt To Wines,36.778261,-119.4179324
