"category","varietal","country","count"
"Port/Sherry","Sercial","Portugal","2"
"Red","Ramisco","Portugal","4"
"White","Vital","Portugal","1"
"Red","Maria Gomes","Portugal","1"
"Red","Trincadeira","Portugal","36"
"Dessert","Fernão Pires","Portugal","3"
"White","Gewürztraminer","Portugal","2"
"Red","Cabernet Sauvignon and Tinta Roriz","Portugal","1"
"White","Avesso","Portugal","12"
"White","Chenin Blanc","Portugal","3"
"Sparkling","Pinot Noir","Portugal","7"
"White","Moscatel","Portugal","9"
"White","Verdelho","Portugal","40"
"White","Muscat","Portugal","7"
"Red","Red Blend","Portugal","168"
"White","Moscatel Galego Branco","Portugal","1"
"Fortified","Moscatel","Portugal","24"
"White","Red Blend","Portugal","1"
"Port/Sherry","Red Blend","Portugal","7"
"Red","Alvarelhão","Portugal","1"
"Red","Merlot-Syrah","Portugal","2"
"Sparkling","Touriga Nacional","Portugal","6"
"Red","Port","Portugal","1"
"Fortified","Verdelho","Portugal","4"
"White","Sauvignon Blanc","Portugal","44"
"Red","Baga","Portugal","47"
"Port/Sherry","Portuguese Red","Portugal","1"
"White","Trajadura","Portugal","3"
"Dessert","Portuguese White","Portugal","8"
"White","Riesling","Portugal","5"
"Port/Sherry","Malmsey","Portugal","2"
"White","Bical","Portugal","17"
"Red","Petit Verdot","Portugal","22"
"Port/Sherry","Port","Portugal","1384"
"Red","Moreto","Portugal","1"
"White","Trincadeira","Portugal","1"
"White","Cerceal","Portugal","9"
"Rose","Espadeiro","Portugal","1"
"Red","Sousão","Portugal","9"
"Red","Bastardo","Portugal","3"
"Port/Sherry","White Port","Portugal","2"
"White","Maria Gomes-Bical","Portugal","1"
"Fortified","Terrantez","Portugal","1"
"Fortified","Portuguese Red","Portugal","1"
"Rose","Touriga Nacional","Portugal","5"
"Red","Rhône-style Red Blend","Portugal","5"
"Sparkling","Alfrocheiro","Portugal","1"
"Dessert","Moscatel Roxo","Portugal","2"
"White","Alvarinho-Trajadura","Portugal","2"
"White","Loureiro","Portugal","54"
"Red","Merlot","Portugal","25"
"Fortified","Boal","Portugal","1"
"Rose","Tinta Roriz","Portugal","1"
"White","Códega do Larinho","Portugal","4"
"Red","Touriga Franca","Portugal","15"
"Fortified","Bual","Portugal","8"
"Fortified","Malvasia","Portugal","2"
"Red","Touriga Nacional","Portugal","290"
"Dessert","Portuguese Red","Portugal","1"
"Red","Touriga Nacional-Cabernet Sauvignon","Portugal","44"
"Red","Vinhão","Portugal","3"
"Sparkling","Maria Gomes","Portugal","1"
"Port/Sherry","Moscatel","Portugal","2"
"Red","Jaen","Portugal","9"
"Red","Aragonez","Portugal","13"
"Red","Moscatel","Portugal","1"
"White","Loureiro-Arinto","Portugal","1"
"Sparkling","Castelão","Portugal","3"
"Red","Portuguese White","Portugal","1"
"White","Antão Vaz","Portugal","27"
"White","Arinto-Chardonnay","Portugal","2"
"White","Jampal","Portugal","1"
"Sparkling","Vinhão","Portugal","1"
"Red","Baga-Touriga Nacional","Portugal","2"
"White","Alvarinho","Portugal","224"
"White","Viognier","Portugal","20"
"White","Portuguese White","Portugal","1736"
"Dessert","Encruzado","Portugal","1"
"Rose","Rosé","Portugal","346"
"Red","Cabernet Sauvignon-Syrah","Portugal","1"
"White","Rhône-style White Blend","Portugal","1"
"Red","Bordeaux-style Red Blend","Portugal","10"
"Dessert","Riesling","Portugal","1"
"Red","Fernão Pires","Portugal","1"
"Dessert","Malvasia Fina","Portugal","2"
"White","Fernão Pires","Portugal","46"
"Fortified","Tinta Negra Mole","Portugal","5"
"White","Chardonnay","Portugal","37"
"Sparkling","Portuguese Sparkling","Portugal","78"
"White","Siria","Portugal","18"
"Port/Sherry","Bual","Portugal","4"
"Sparkling","Baga","Portugal","3"
"Dessert","Sémillon","Portugal","3"
"White","Moscato","Romania","5"
"Red","Băbească neagră","Romania","1"
"White","Pinot Grigio","Romania","12"
"White","Chardonnay","Romania","21"
"White","Feteasca","Romania","1"
"Red","Merlot","Romania","15"
"White","Sauvignon","Romania","1"
"Red","Cabernet Sauvignon","Romania","19"
"Sparkling","Sparkling Blend","Romania","1"
"White","Pinot Gris","Romania","4"
"White","Gewürztraminer","Romania","2"
"White","Sauvignon Blanc","Romania","17"
"Red","Feteasca Neagra","Romania","11"
"White","White Blend","Romania","10"
"White","Riesling","Romania","11"
"White","Muskat Ottonel","Romania","2"
"Red","Red Blend","Romania","12"
"Red","Shiraz","Romania","1"
"White","Tămâioasă Românească","Romania","2"
"Red","Syrah","Romania","1"
"Rose","Rosé","Romania","2"
"Red","Cabernet Sauvignon-Feteasca Neagra","Romania","1"
"Rose","Cabernet Sauvignon","Romania","1"
"White","Sarba","Romania","1"
"Red","Pinot Noir","Romania","23"
"White","Feteascǎ Regalǎ","Romania","4"
"Red","Feteasca","Romania","1"
"White","Riesling","Serbia","1"
"Red","Prokupac","Serbia","2"
"White","Morava","Serbia","1"
"Red","Blauer Portugieser","Serbia","1"
"White","Tamjanika","Serbia","2"
"Red","Red Blend","Serbia","2"
"Red","Portuguiser","Serbia","1"
"White","Riesling","Slovakia","2"
"White","Welschriesling","Slovenia","1"
"White","Zelen","Slovenia","1"
"White","Vitovska","Slovenia","2"
"Rose","Rosé","Slovenia","2"
"White","White Blend","Slovenia","11"
"Red","Merlot","Slovenia","1"
"Red","Cabernet Sauvignon","Slovenia","3"
"White","Sauvignon Blanc","Slovenia","9"
"Sparkling","Riesling","Slovenia","1"
"Red","Gamay","Slovenia","1"
"White","Malvasia Istriana","Slovenia","1"
"White","Malvasia","Slovenia","1"
"Red","Red Blend","Slovenia","3"
"White","Pinot Grigio","Slovenia","11"
"White","Rebula","Slovenia","3"
"White","Pinot Gris","Slovenia","3"
"Red","Pinot Noir","Slovenia","7"
"White","Riesling","Slovenia","2"
"Red","Cabernet Sauvignon-Merlot","Slovenia","1"
"White","Ribolla Gialla","Slovenia","8"
"White","Sauvignon","Slovenia","7"
"White","Kerner","Slovenia","1"
"Red","Bordeaux-style Red Blend","Slovenia","5"
"White","Chardonnay","Slovenia","6"
"White","Furmint","Slovenia","1"
"White","Traminer","Slovenia","1"
"White","Muscat","Slovenia","1"
"Sparkling","Ribolla Gialla","Slovenia","1"
"White","Sauvignonasse","Slovenia","1"
"Red","Refosco","Slovenia","1"
"Dessert","Merlot-Cabernet Franc","Slovenia","1"
"Red","Cabernet Franc","Slovenia","1"
"Red","Teran","Slovenia","2"
"White","Moscato","Slovenia","1"
"White","Tocai","Slovenia","1"
"White","Merlot","Slovenia","1"
"White","Sauvignon Blanc-Semillon","South Africa","4"
"White","Fumé Blanc","South Africa","1"
"Red","Carignane","South Africa","2"
"White","Viognier-Grenache Blanc","South Africa","1"
"Red","Cabernet Sauvignon-Cabernet Franc","South Africa","2"
"White","Bordeaux-style White Blend","South Africa","3"
"White","Roussanne","South Africa","2"
"Red","White Blend","South Africa","1"
"Red","Chenin Blanc","South Africa","1"
"Red","Zinfandel","South Africa","1"
"Dessert","Sauvignon Blanc","South Africa","2"
"White","Meritage","South Africa","1"
"White","Rhône-style White Blend","South Africa","2"
"White","Riesling","South Africa","14"
"White","Moscato","South Africa","4"
"Rose","Red Blend","South Africa","1"
"Red","Cabernet Sauvignon-Syrah","South Africa","1"
"Red","Gamay Noir","South Africa","1"
"Dessert","Morio Muskat","South Africa","1"
"Red","Bordeaux-style Red Blend","South Africa","198"
"White","Sauvignon Blanc-Chenin Blanc","South Africa","3"
"Dessert","Muscat","South Africa","5"
"Red","Syrah-Mourvèdre","South Africa","1"
"Red","Chardonnay","South Africa","4"
"Rose","Pinotage","South Africa","11"
"White","Sauvignon Blanc-Chardonnay","South Africa","1"
"Red","Shiraz-Pinotage","South Africa","5"
"Rose","Shiraz","South Africa","1"
"Dessert","White Blend","South Africa","3"
"White","Sauvignon","South Africa","1"
"White","Bukettraube","South Africa","1"
"White","Chenin Blanc","South Africa","355"
"Dessert","Muscadel","South Africa","1"
"Red","Petit Verdot","South Africa","1"
"Red","Carignan","South Africa","1"
"Red","Merlot-Cabernet Franc","South Africa","1"
"White","Pinot Grigio","South Africa","2"
"Red","Cinsault","South Africa","10"
"Red","Cabernet Sauvignon-Merlot","South Africa","38"
"Rose","Pinot Noir","South Africa","1"
"Sparkling","Shiraz","South Africa","1"
"White","Chenin Blanc-Verdelho","South Africa","1"
"White","Chenin Blanc-Sauvignon Blanc","South Africa","6"
"Red","Syrah-Cabernet Sauvignon","South Africa","1"
"Sparkling","Chenin Blanc","South Africa","2"
"White","White Blend","South Africa","91"
"White","Grenache Blanc","South Africa","3"
"Dessert","Viognier","South Africa","1"
"Red","Grenache-Syrah","South Africa","4"
"Port/Sherry","Port","South Africa","6"
"White","Clairette","South Africa","1"
"Red","Sauvignon Blanc","South Africa","4"
"Red","Meritage","South Africa","3"
"Red","Mourvèdre","South Africa","6"
"Red","Grenache","South Africa","4"
"Red","Barbera","South Africa","2"
"White","Chenin Blanc-Viognier","South Africa","1"
"Red","Grenache Noir","South Africa","1"
"Red","G-S-M","South Africa","3"
"White","Sémillon","South Africa","23"
"Red","Shiraz-Malbec","South Africa","2"
"Sparkling","Sauvignon Blanc","South Africa","1"
"Rose","Cabernet Sauvignon","South Africa","7"
"Red","Shiraz","South Africa","323"
"Red","Cabernet Franc-Merlot","South Africa","1"
"Red","Syrah-Viognier","South Africa","2"
"White","Syrah","South Africa","1"
"White","Semillon-Chardonnay","South Africa","2"
"Red","Shiraz-Viognier","South Africa","2"
"White","Sauvignon Blanc","South Africa","463"
"Dessert","Riesling","South Africa","5"
"White","Gewürztraminer","South Africa","5"
"Dessert","Pinotage","South Africa","1"
"Red","Shiraz-Mourvèdre","South Africa","3"
"Red","Cabernet Blend","South Africa","14"
"Red","Cabernet Franc","South Africa","12"
"White","Chardonnay-Sauvignon","South Africa","1"
"Dessert","Chenin Blanc","South Africa","11"
"White","Chardonnay-Semillon","South Africa","1"
"Red","Cabernet Sauvignon-Malbec","South Africa","1"
"White","Muscat Blanc","South Africa","1"
"Dessert","Muscat d'Alexandrie","South Africa","1"
"Red","Tinta Barroca","South Africa","1"
"Red","Pinotage-Merlot","South Africa","1"
"Red","Merlot-Shiraz","South Africa","2"
"Red","Merlot-Cabernet Sauvignon","South Africa","20"
"White","Shiraz-Viognier","South Africa","1"
"White","Chenin Blanc-Chardonnay","South Africa","8"
"Red","Shiraz-Grenache","South Africa","1"
"Red","Red Blend","South Africa","233"
"Red","Syrah","South Africa","110"
"Red","Merlot","South Africa","152"
"White","Steen","South Africa","3"
"Red","Cabernet Sauvignon-Merlot-Shiraz","South Africa","2"
"White","Semillon-Sauvignon Blanc","South Africa","3"
"Red","Malbec","South Africa","1"
"Red","Tempranillo","South Africa","1"
"Red","Pinotage","South Africa","311"
"Sparkling","Chardonnay","South Africa","8"
"Red","Cabernet Sauvignon","South Africa","364"
"Red","Shiraz-Cabernet Sauvignon","South Africa","13"
"White","Roussanne-Marsanne","South Africa","1"
"White","Chardonnay","South Africa","437"
"White","Red Blend","South Africa","2"
"Red","Cabernet Sauvignon-Shiraz","South Africa","12"
"Red","Syrah-Cabernet","South Africa","1"
"Dessert","Port","South Africa","1"
"Rose","Cabernet","South Africa","1"
"White","Viognier","South Africa","30"
"White","Chardonnay-Viognier","South Africa","4"
"Rose","Sparkling Blend","South Africa","1"
"Sparkling","Sparkling Blend","South Africa","30"
"Red","Shiraz-Cabernet","South Africa","1"
"Rose","Rosé","South Africa","48"
"Red","Rhône-style Red Blend","South Africa","24"
"Sparkling","Champagne Blend","South Africa","26"
"Red","Pinot Noir","South Africa","83"
"Red","Meoru","South Korea","3"
"Red","Grenache Blend","Spain","5"
"Red","Sherry","Spain","1"
"Red","Cabernet Franc-Tempranillo","Spain","1"
"Red","Forcallà","Spain","1"
"Red","Macabeo","Spain","1"
"Sparkling","White Blend","Spain","13"
"White","Albariño","Spain","637"
"Red","Tempranillo","Spain","2961"
"Dessert","Muscat of Alexandria","Spain","1"
"Red","Bobal","Spain","36"
"White","Moscatel","Spain","16"
"Dessert","Chardonnay","Spain","2"
"Rose","Tempranillo-Garnacha","Spain","2"
"Sparkling","Grenache","Spain","1"
"Dessert","Garnacha","Spain","1"
"White","Paralleda","Spain","2"
"White","Treixadura","Spain","4"
"Red","Moristel","Spain","3"
"Fortified","Garnacha Blend","Spain","1"
"White","Sauvignon","Spain","9"
"Red","Shiraz","Spain","8"
"White","Malvar","Spain","2"
"Red","Alicante Bouschet","Spain","2"
"Red","Tinta Fina","Spain","19"
"Rose","Garnacha","Spain","42"
"White","Godello","Spain","157"
"Dessert","Pedro Ximénez","Spain","8"
"Rose","Tempranillo","Spain","34"
"White","Pardina","Spain","1"
"Red","Xarel-lo","Spain","1"
"Rose","Red Blend","Spain","3"
"Red","Syrah-Cabernet","Spain","1"
"Rose","Hondarrabi Zuri","Spain","1"
"White","Verdil","Spain","2"
"Sparkling","Trepat","Spain","14"
"Red","Monastrell-Petit Verdot","Spain","1"
"White","Picapoll","Spain","2"
"White","White Blend","Spain","539"
"Red","Verdejo","Spain","1"
"Sparkling","Pinot Noir","Spain","38"
"White","Pansa Blanca","Spain","18"
"White","Premsal","Spain","1"
"Red","Babosa Negro","Spain","1"
"Red","Cabernet Sauvignon-Shiraz","Spain","1"
"White","Verdejo-Sauvignon Blanc","Spain","7"
"White","Riesling","Spain","2"
"Sparkling","Champagne Blend","Spain","62"
"Rose","Grenache","Spain","8"
"Sparkling","Tempranillo","Spain","1"
"Red","Garnacha-Cabernet","Spain","2"
"Sparkling","Bobal","Spain","2"
"White","Airen","Spain","9"
"Rose","Cabernet Sauvignon","Spain","6"
"Dessert","White Blend","Spain","2"
"Red","Carineña","Spain","6"
"Red","Cabernet Sauvignon-Merlot","Spain","24"
"White","Verdejo-Viura","Spain","27"
"White","Pedro Ximénez","Spain","6"
"Red","Carignan-Grenache","Spain","7"
"White","Muscat of Alexandria","Spain","1"
"White","Viura-Chardonnay","Spain","17"
"Sparkling","Macabeo","Spain","9"
"Red","Syrah-Tempranillo","Spain","2"
"Fortified","Muscat","Spain","1"
"Red","Monastrell-Cabernet Sauvignon","Spain","1"
"White","Maturana Blanca","Spain","1"
"White","Macabeo-Chardonnay","Spain","5"
"Red","Garnacha-Syrah","Spain","19"
"White","Meseguera","Spain","2"
"Rose","Garnacha-Cabernet","Spain","1"
"Rose","Merlot","Spain","1"
"Red","Tempranillo-Syrah","Spain","2"
"Rose","Tempranillo-Merlot","Spain","1"
"Red","Mataro","Spain","1"
"White","Red Blend","Spain","3"
"Red","Cabernet Sauvignon-Tempranillo","Spain","25"
"Red","Red Blend","Spain","1479"
"Red","Tempranillo-Garnacha","Spain","57"
"Red","Albariño","Spain","3"
"Red","Syrah-Garnacha","Spain","1"
"White","Hondarrabi Zuri","Spain","32"
"Dessert","Palomino","Spain","2"
"Red","Grenache-Carignan","Spain","11"
"Sparkling","Chardonnay","Spain","8"
"Dessert","Malvasia","Spain","1"
"White","Sparkling Blend","Spain","2"
"Red","Carignane","Spain","1"
"White","Gewürztraminer","Spain","4"
"Sparkling","Red Blend","Spain","1"
"Red","Tinta del Toro","Spain","9"
"Sparkling","Xarel-lo","Spain","5"
"White","Sauvignon Blanc-Verdejo","Spain","7"
"Dessert","Red Blend","Spain","6"
"Red","Listán Negro","Spain","2"
"Port/Sherry","Pedro Ximénez","Spain","48"
"White","Muscat","Spain","10"
"White","Garnacha","Spain","3"
"White","Chardonnay","Spain","135"
"White","Malvasia-Viura","Spain","4"
"Red","Tinto Velasco","Spain","1"
"White","Tempranillo Blanco","Spain","16"
"White","Macabeo","Spain","31"
"Red","Rufete","Spain","2"
"Port/Sherry","Moscatel","Spain","2"
"White","Moscato","Spain","6"
"Red","Carignan-Syrah","Spain","1"
"White","Verdosilla","Spain","2"
"Rose","Merlot-Cabernet Sauvignon","Spain","1"
"Red","Garnatxa","Spain","2"
"White","Garnatxa Blanca","Spain","2"
"White","Sauvignon Blanc","Spain","70"
"Red","Garnacha-Cariñena","Spain","1"
"Red","Parraleta","Spain","2"
"Red","Pinot Noir","Spain","3"
"Red","Shiraz-Cabernet Sauvignon","Spain","2"
"Red","Viura","Spain","3"
"White","Palomino","Spain","1"
"Red","Godello","Spain","1"
"Rose","Monastrell","Spain","5"
"White","Viura-Verdejo","Spain","3"
"Red","Rosé","Spain","1"
"Red","Merlot","Spain","42"
"White","Cabernet Sauvignon-Tempranillo","Spain","1"
"Dessert","Moscatel","Spain","38"
"Red","Cabernet Sauvignon-Syrah","Spain","5"
"Red","Garnacha","Spain","506"
"Red","Tinta del Pais","Spain","6"
"Sparkling","Moscatel","Spain","4"
"Red","Shiraz-Tempranillo","Spain","6"
"Red","Mencía","Spain","295"
"Red","Paralleda","Spain","1"
"Red","Rhône-style Red Blend","Spain","6"
"Port/Sherry","Palomino","Spain","26"
"White","Macabeo-Gewürztraminer","Spain","1"
"Dessert","Grenache","Spain","1"
"Sparkling","Monastrell","Spain","1"
"Red","Prieto Picudo","Spain","29"
"Red","Syrah-Merlot","Spain","1"
"Red","Grenache","Spain","32"
"White","Malvasia","Spain","7"
"Red","Maturana","Spain","6"
"Rose","Shiraz-Tempranillo","Spain","1"
"Red","Tempranillo-Shiraz","Spain","16"
"Red","Garnacha Blend","Spain","3"
"Red","Tempranillo-Merlot","Spain","20"
"Red","Mazuelo","Spain","6"
"Rose","Tinto Fino","Spain","1"
"Sparkling","Verdejo","Spain","2"
"Port/Sherry","Sherry","Spain","169"
"Red","Cabernet Sauvignon-Cabernet Franc","Spain","3"
"Rose","Rufete","Spain","2"
"Red","Vidadillo","Spain","1"
"Red","Cariñena-Garnacha","Spain","4"
"Dessert","Muscat","Spain","5"
"White","Rhône-style White Blend","Spain","1"
"White","Moscatel de Alejandría","Spain","3"
"Red","Garnacha-Tempranillo","Spain","5"
"Rose","Graciano","Spain","1"
"Red","Garnacha-Monastrell","Spain","3"
"White","Chardonnay-Sauvignon Blanc","Spain","2"
"Red","Cabernet Franc","Spain","4"
"Red","Cabernet Sauvignon","Spain","105"
"Red","Tinta de Toro","Spain","314"
"Red","Petit Verdot","Spain","21"
"Red","Garnacha-Graciano","Spain","4"
"White","Albarín","Spain","1"
"White","Merseguera-Sauvignon Blanc","Spain","2"
"Red","Bobal-Cabernet Sauvignon","Spain","1"
"Red","Crespiello","Spain","1"
"Red","Bordeaux-style Red Blend","Spain","21"
"White","Tempranillo Blend","Spain","2"
"Rose","Rosato","Spain","1"
"Sparkling","Garnacha","Spain","3"
"Sparkling","Sparkling Blend","Spain","903"
"Red","Cencibel","Spain","7"
"Sparkling","Sumoll","Spain","1"
"Red","Carignan","Spain","15"
"Red","Graciano","Spain","43"
"Red","Syrah-Petit Verdot","Spain","1"
"Red","Cabernet Blend","Spain","14"
"Red","White Blend","Spain","3"
"Red","Syrah-Grenache","Spain","6"
"White","Sauvignon Blanc-Chardonnay","Spain","2"
"Dessert","Hondarrabi Zuri","Spain","1"
"Red","Merlot-Cabernet Sauvignon","Spain","8"
"Dessert","Mataro","Spain","1"
"Rose","Tempranillo Blend","Spain","7"
"Red","Tinto del Pais","Spain","106"
"Sparkling","Tannat","Spain","1"
"White","Viura","Spain","198"
"Red","Monastrell-Syrah","Spain","26"
"Red","Tempranillo-Cabernet Sauvignon","Spain","96"
"Rose","Rosé","Spain","278"
"White","Garnacha Blanca","Spain","47"
"White","Viognier","Spain","2"
"Red","Monastrell","Spain","202"
"Red","Touriga Nacional Blend","Spain","1"
"Rose","Cabernet Blend","Spain","1"
"Sparkling","Macabeo-Chardonnay","Spain","2"
"Red","Malbec","Spain","1"
"Sparkling","Muscat","Spain","3"
"Red","Tinto Fino","Spain","137"
"White","Albillo","Spain","1"
"Dessert","Monastrell","Spain","8"
"White","Viura-Sauvignon Blanc","Spain","1"
"Dessert","Cabernet Sauvignon","Spain","1"
"White","Jaen","Spain","1"
"White","Grenache Blanc","Spain","7"
"White","Tempranillo","Spain","3"
"White","Verdejo","Spain","484"
"Dessert","Macabeo","Spain","1"
"Sparkling","Moscato","Spain","8"
"Red","Garnacha Tintorera","Spain","7"
"White","Macabeo-Moscatel","Spain","2"
"White","Xarel-lo","Spain","37"
"Red","Merlot-Syrah","Spain","1"
"Rose","Rosado","Spain","89"
"Red","Syrah","Spain","69"
"Red","Bobal-Tempranillo","Spain","1"
"Rose","Prieto Picudo","Spain","4"
"White","Doña Blanca","Spain","2"
"Red","Trepat","Spain","2"
"White","Chardonnay-Macabeo","Spain","1"
"Red","Tempranillo Blend","Spain","1159"
"Red","Grenache-Syrah","Spain","8"
"White","Johannisberg","Switzerland","1"
"Red","Red Blend","Switzerland","3"
"White","Pinot Gris","Switzerland","1"
"Rose","Rosé","Switzerland","2"
"White","Chasselas","Switzerland","5"
"Rose","Pinot Noir","Switzerland","1"
"Red","Pinot Noir","Switzerland","5"
"White","White Blend","Switzerland","1"
"Red","Merlot","Switzerland","2"
"Red","Pinot Noir-Gamay","Switzerland","1"
"Red","Red Blend","Tunisia","1"
"Rose","Rosé","Tunisia","1"
"White","White Blend","Tunisia","1"
"White","Chardonnay","Turkey","1"
"Red","Syrah","Turkey","4"
"Red","Syrah-Merlot","Turkey","1"
"Red","Cabernet Franc","Turkey","1"
"White","Sauvignon Blanc","Turkey","1"
"Rose","Rosé","Turkey","4"
"Rose","Kalecik Karasi","Turkey","1"
"Red","Cabernet Sauvignon","Turkey","3"
"Red","Papaskarasi","Turkey","1"
"White","Misket","Turkey","1"
"Red","Boğazkere","Turkey","5"
"Red","Karasakiz","Turkey","1"
"Red","Merlot","Turkey","3"
"Red","Kalecik Karasi","Turkey","13"
"Red","Red Blend","Turkey","21"
"White","Narince","Turkey","10"
"Red","Okuzgozu","Turkey","11"
"Rose","Çalkarası","Turkey","2"
"Sparkling","Kalecik Karasi","Turkey","2"
"White","Kinali Yapincak","Turkey","1"
"White","Yapincak","Turkey","2"
"Red","Karalahna","Turkey","1"
"Red","Kuntra","Turkey","1"
"White","Emir","Turkey","3"
"Red","Cabernet Sauvignon-Merlot","Turkey","2"
"Red","Bordeaux-style Red Blend","Turkey","4"
"Red","Merlot-Cabernet Franc","Turkey","1"
"White","White Blend","Turkey","4"
"White","Papaskarasi","Turkey","1"
"Sparkling","Muscat","Ukraine","1"
"Rose","Rosé","Ukraine","1"
"Red","Merlot","Ukraine","2"
"White","Riesling","Ukraine","1"
"Dessert","Bastardo","Ukraine","1"
"Red","Cabernet Sauvignon","Ukraine","1"
"Sparkling","Sparkling Blend","Ukraine","8"
"White","Traminer","Ukraine","1"
"Dessert","Muscat Hamburg","Ukraine","1"
"White","Chardonnay","Ukraine","2"
"Red","Tannat-Cabernet Franc","Uruguay","2"
"Red","Tannat-Cabernet","Uruguay","1"
"Red","Pinot Noir-Tannat","Uruguay","1"
"Red","Malbec","Uruguay","1"
"Red","Tannat","Uruguay","93"
"Red","Tempranillo","Uruguay","1"
"Red","Red Blend","Uruguay","33"
"Red","Tempranillo-Tannat","Uruguay","1"
"White","White Blend","Uruguay","2"
"Red","Tannat-Syrah","Uruguay","2"
"Red","Petit Verdot","Uruguay","1"
"White","Chardonnay","Uruguay","5"
"Fortified","Tannat","Uruguay","1"
"Rose","Rosé","Uruguay","5"
"Dessert","Tannat","Uruguay","2"
"Red","Cabernet Franc","Uruguay","3"
"Red","Cabernet Sauvignon","Uruguay","8"
"Red","Merlot","Uruguay","6"
"White","Viognier","Uruguay","3"
"White","Albariño","Uruguay","10"
"Red","Marselan","Uruguay","1"
"White","Torrontés","Uruguay","1"
"Red","Shiraz","Uruguay","1"
"White","Sauvignon Blanc","Uruguay","6"
"Red","Pinot Noir","Uruguay","9"
"Red","Tannat-Merlot","Uruguay","7"
"Red","St. Vincent","US","1"
"Red","Pinot Noir","US","17892"
"White","Sauvignon Blanc","US","4274"
"Sparkling","Viognier","US","1"
"White","White Riesling","US","35"
"White","Syrah","US","13"
"Red","Grenache","US","790"
"Sparkling","Chardonnay","US","85"
"Red","Petite Sirah","US","1439"
"White","Pinot Blanc-Chardonnay","US","1"
"Sparkling","Red Blend","US","2"
"Dessert","Cabernet Franc","US","6"
"Red","Muscat","US","2"
"Red","Durif","US","2"
"Red","Raspberry","US","1"
"Dessert","Gewürztraminer-Riesling","US","1"
"White","Johannisberg Riesling","US","53"
"Red","Marsanne","US","1"
"White","Chardonnay","US","13156"
"Red","Norton","US","22"
"Red","Arneis","US","1"
"White","Viognier-Gewürztraminer","US","1"
"Sparkling","Vidal Blanc","US","1"
"White","Tempranillo","US","2"
"Red","Maréchal Foch","US","1"
"Red","Dornfelder","US","9"
"White","Sylvaner","US","2"
"White","Viognier-Grenache Blanc","US","2"
"White","Verdejo","US","6"
"Rose","Gamay","US","1"
"Red","Bouchet","US","3"
"Rose","Mission","US","5"
"Red","Syrah","US","6919"
"White","Viognier-Marsanne","US","4"
"Rose","Rosé","US","1552"
"Red","Montepulciano","US","28"
"Sparkling","Cortese","US","1"
"Rose","Sauvignon Blanc","US","1"
"Dessert","Gewürztraminer","US","47"
"Port/Sherry","Viognier","US","1"
"Red","Cabernet Blend","US","183"
"Red","Meritage","US","455"
"Port/Sherry","White Port","US","2"
"White","Ugni Blanc","US","4"
"White","Muscat Blanc","US","11"
"Red","Syrah-Merlot","US","2"
"White","Chardonelle","US","1"
"White","Roussanne-Marsanne","US","4"
"Port/Sherry","Norton","US","1"
"White","Auxerrois","US","18"
"Red","Cabernet Sauvignon-Cabernet Franc","US","22"
"Red","Cabernet Sauvignon-Carmenère","US","3"
"Rose","Counoise","US","2"
"Port/Sherry","Petite Sirah","US","7"
"Rose","Nebbiolo","US","4"
"Dessert","Traminer","US","1"
"Rose","Charbono","US","3"
"Red","Johannisberg Riesling","US","1"
"Red","Negroamaro","US","2"
"Red","Viognier","US","9"
"Red","Tempranillo","US","567"
"White","Aleatico","US","1"
"Red","Sangiovese Grosso","US","1"
"White","Fumé-Chardonnay","US","1"
"Dessert","Vignoles","US","7"
"Sparkling","Grenache","US","2"
"White","Trousseau Gris","US","5"
"Red","Negrette","US","4"
"White","Muskat","US","1"
"Sparkling","Shiraz","US","2"
"White","Grüner Veltliner","US","123"
"Fortified","Blanc du Bois","US","2"
"Dessert","Primitivo","US","5"
"Red","Malbec-Cabernet Sauvignon","US","1"
"Rose","Pinot Meunier","US","1"
"Red","Cabernet Sauvignon","US","14171"
"White","Fumé Blanc","US","202"
"Red","Graciano","US","23"
"Red","Schioppettino","US","1"
"Rose","Lemberger","US","1"
"Red","Carignan-Grenache","US","3"
"Red","Tannat","US","72"
"Dessert","Moscato","US","66"
"Red","Touriga","US","4"
"Dessert","Petite Sirah","US","13"
"Red","Pinotage","US","23"
"Dessert","Pinot Noir","US","8"
"White","Seyval Blanc","US","19"
"Red","Côt","US","3"
"Red","Sparkling Blend","US","4"
"Dessert","Marsanne","US","1"
"Sparkling","Malvasia Bianca","US","2"
"White","Chardonnay-Viognier","US","14"
"Dessert","Apple","US","2"
"Rose","Graciano","US","1"
"Red","Mourvèdre-Syrah","US","3"
"White","Pinot Grigio","US","738"
"Port/Sherry","Zinfandel","US","13"
"Red","Pinot-Chardonnay","US","2"
"Red","Lagrein-Dolcetto","US","1"
"White","Roussanne-Viognier","US","17"
"Dessert","Pinot Blanc","US","4"
"Red","Moscato","US","1"
"Sparkling","Rosé","US","20"
"Port/Sherry","Palomino","US","1"
"Red","Cabernet Sauvignon-Sangiovese","US","21"
"Dessert","Grenache","US","2"
"White","Muscat Canelli","US","32"
"White","Rhône-style Red Blend","US","1"
"Dessert","Vidal Blanc","US","43"
"Red","Merlot","US","5386"
"Sparkling","Pinot Gris","US","4"
"Dessert","Barbera","US","1"
"White","Pinot-Chardonnay","US","3"
"Red","Carignan","US","14"
"Red","Lemberger-Cabernet","US","2"
"Rose","Mourvèdre","US","20"
